"method","type","param","cluster","dim.x","mean","sd","lower","upper","width","dim.y","true","bias","rmse"
"connectivity_only","mu","mu[1,1]",1,1,0.0607299944625391,0.461033613283239,-0.55968794634093,1.32097176397169,1.88065971031262,1,0,0.0607299944625391,0.465016262946168
"connectivity_only","mu","mu[1,1]",1,1,0.0607299944625391,0.461033613283239,-0.55968794634093,1.32097176397169,1.88065971031262,2,0,0.0607299944625391,0.465016262946168
"connectivity_only","mu","mu[1,1]",1,1,0.0607299944625391,0.461033613283239,-0.55968794634093,1.32097176397169,1.88065971031262,3,0,0.0607299944625391,0.465016262946168
"connectivity_only","mu","mu[1,1]",1,1,0.0607299944625391,0.461033613283239,-0.55968794634093,1.32097176397169,1.88065971031262,4,0,0.0607299944625391,0.465016262946168
"connectivity_only","mu","mu[1,2]",1,2,0.387513553937562,0.519387682707711,-0.0977412598384725,2.34854528136366,2.44628654120214,1,0,0.387513553937562,0.648020307886879
"connectivity_only","mu","mu[1,2]",1,2,0.387513553937562,0.519387682707711,-0.0977412598384725,2.34854528136366,2.44628654120214,2,0,0.387513553937562,0.648020307886879
"connectivity_only","mu","mu[1,2]",1,2,0.387513553937562,0.519387682707711,-0.0977412598384725,2.34854528136366,2.44628654120214,3,0,0.387513553937562,0.648020307886879
"connectivity_only","mu","mu[1,2]",1,2,0.387513553937562,0.519387682707711,-0.0977412598384725,2.34854528136366,2.44628654120214,4,0,0.387513553937562,0.648020307886879
"connectivity_only","mu","mu[1,3]",1,3,0.0450234727606216,0.310095359117714,-0.524554639134793,0.335967353065584,0.860521992200377,1,0,0.0450234727606216,0.313346844320747
"connectivity_only","mu","mu[1,3]",1,3,0.0450234727606216,0.310095359117714,-0.524554639134793,0.335967353065584,0.860521992200377,2,0,0.0450234727606216,0.313346844320747
"connectivity_only","mu","mu[1,3]",1,3,0.0450234727606216,0.310095359117714,-0.524554639134793,0.335967353065584,0.860521992200377,3,0,0.0450234727606216,0.313346844320747
"connectivity_only","mu","mu[1,3]",1,3,0.0450234727606216,0.310095359117714,-0.524554639134793,0.335967353065584,0.860521992200377,4,0,0.0450234727606216,0.313346844320747
"connectivity_only","mu","mu[1,4]",1,4,-0.303183698508106,0.462498299816574,-0.703697178213349,0.845787250482266,1.54948442869562,1,0,-0.303183698508106,0.553014495627624
"connectivity_only","mu","mu[1,4]",1,4,-0.303183698508106,0.462498299816574,-0.703697178213349,0.845787250482266,1.54948442869562,2,0,-0.303183698508106,0.553014495627624
"connectivity_only","mu","mu[1,4]",1,4,-0.303183698508106,0.462498299816574,-0.703697178213349,0.845787250482266,1.54948442869562,3,0,-0.303183698508106,0.553014495627624
"connectivity_only","mu","mu[1,4]",1,4,-0.303183698508106,0.462498299816574,-0.703697178213349,0.845787250482266,1.54948442869562,4,0,-0.303183698508106,0.553014495627624
"connectivity_only","mu","mu[2,1]",2,1,1.3684423315879,0.463310830927997,0.392659627498808,2.13441385987075,1.74175423237194,1,1,0.368442331587897,0.591951583967065
"connectivity_only","mu","mu[2,1]",2,1,1.3684423315879,0.463310830927997,0.392659627498808,2.13441385987075,1.74175423237194,2,2,-0.631557668412103,0.78327646114595
"connectivity_only","mu","mu[2,1]",2,1,1.3684423315879,0.463310830927997,0.392659627498808,2.13441385987075,1.74175423237194,3,0,1.3684423315879,1.44474611642908
"connectivity_only","mu","mu[2,1]",2,1,1.3684423315879,0.463310830927997,0.392659627498808,2.13441385987075,1.74175423237194,4,0,1.3684423315879,1.44474611642908
"connectivity_only","mu","mu[2,2]",2,2,1.85591055080552,0.569986626401814,0.702953698372027,2.91214597305745,2.20919227468543,1,1,0.855910550805522,1.02833244880104
"connectivity_only","mu","mu[2,2]",2,2,1.85591055080552,0.569986626401814,0.702953698372027,2.91214597305745,2.20919227468543,2,2,-0.144089449194478,0.587917106100928
"connectivity_only","mu","mu[2,2]",2,2,1.85591055080552,0.569986626401814,0.702953698372027,2.91214597305745,2.20919227468543,3,0,1.85591055080552,1.94146561310474
"connectivity_only","mu","mu[2,2]",2,2,1.85591055080552,0.569986626401814,0.702953698372027,2.91214597305745,2.20919227468543,4,0,1.85591055080552,1.94146561310474
"connectivity_only","mu","mu[2,3]",2,3,-0.133025341520369,0.467925032255964,-1.03942747666018,0.507688394776861,1.54711587143704,1,1,-1.13302534152037,1.22584675238755
"connectivity_only","mu","mu[2,3]",2,3,-0.133025341520369,0.467925032255964,-1.03942747666018,0.507688394776861,1.54711587143704,2,2,-2.13302534152037,2.18374699619251
"connectivity_only","mu","mu[2,3]",2,3,-0.133025341520369,0.467925032255964,-1.03942747666018,0.507688394776861,1.54711587143704,3,0,-0.133025341520369,0.486466419497128
"connectivity_only","mu","mu[2,3]",2,3,-0.133025341520369,0.467925032255964,-1.03942747666018,0.507688394776861,1.54711587143704,4,0,-0.133025341520369,0.486466419497128
"connectivity_only","mu","mu[2,4]",2,4,0.252919748885425,0.886350525576511,-0.529092285137157,3.0676642133082,3.59675649844536,1,1,-0.747080251114575,1.15920065381071
"connectivity_only","mu","mu[2,4]",2,4,0.252919748885425,0.886350525576511,-0.529092285137157,3.0676642133082,3.59675649844536,2,2,-1.74708025111458,1.95905759436121
"connectivity_only","mu","mu[2,4]",2,4,0.252919748885425,0.886350525576511,-0.529092285137157,3.0676642133082,3.59675649844536,3,0,0.252919748885425,0.921729707433813
"connectivity_only","mu","mu[2,4]",2,4,0.252919748885425,0.886350525576511,-0.529092285137157,3.0676642133082,3.59675649844536,4,0,0.252919748885425,0.921729707433813
