"method","cluster","dim","mean","sd","lower","upper","width","true","bias","rmse"
"connectivity_only",1,1,1.39981487309232,0.295565375269346,0.951253715675973,2.10706705746102,1.15581334178505,1,0.399814873092318,0.497203000598282
"connectivity_only",1,2,0.912484463788341,0.210228380093869,0.586605575758283,1.39017682952381,0.803571253765523,1,-0.0875155362116591,0.227716799721291
"connectivity_only",1,3,1.45558447743599,0.303403589489599,0.952790043694084,2.14237942313904,1.18958937944496,1,0.455584477435986,0.547367293684774
"connectivity_only",1,4,1.78205241929367,0.381852037254951,1.18270252119553,2.64403775211302,1.46133523091749,1,0.782052419293668,0.870297055538415
"connectivity_only",2,1,0.956619375477236,0.26551497425221,0.567708125907663,1.59380972939554,1.02610160348787,1.5,-0.543380624522764,0.604781534654375
"connectivity_only",2,2,1.77722286055079,0.473541278599414,1.08369224251444,2.94569084449841,1.86199860198397,1.5,0.277222860550785,0.548720199144817
"connectivity_only",2,3,1.11086030512526,0.316790440388973,0.666653344308267,1.81958710568065,1.15293376137239,1.5,-0.389139694874735,0.501782707204066
"connectivity_only",2,4,1.77414660806374,0.47668734105655,1.07920764130739,2.98955287591422,1.91034523460683,1.5,0.274146608063744,0.549897430287159
"connectivity_only",3,1,1.09882076383086,0.181725840890885,0.801660795059472,1.50825811237177,0.706597317312296,1,0.0988207638308634,0.206857014895832
"connectivity_only",3,2,0.595040298046899,0.093472089155326,0.441918288509244,0.803752968574731,0.361834680065487,2,-1.4049597019531,1.40806562189523
"connectivity_only",3,3,0.900255427020941,0.146967044397146,0.659257478214653,1.22666675753783,0.567409279323172,1,-0.0997445729790594,0.177618388624623
"connectivity_only",3,4,1.17932728242074,0.187229999417978,0.874158389302677,1.61414380406688,0.7399854147642,2,-0.820672717579264,0.841759337376777
"integrated",1,1,1.39749996040823,0.296861397254982,0.940938832065144,2.1089216985352,1.16798286647005,1,0.397499960408233,0.496117836511375
"integrated",1,2,0.908059037760803,0.193382230816726,0.601710366490602,1.36210232953117,0.760391963040564,1,-0.0919409622391975,0.214125728797646
"integrated",1,3,1.43127997831411,0.308084723810345,0.94520615709287,2.11906386462341,1.17385770753054,1,0.431279978314106,0.530017562671193
"integrated",1,4,1.75391730711816,0.356523560576928,1.16866888187341,2.53289337586091,1.3642244939875,1,0.753917307118157,0.833966639152157
"integrated",2,1,1.10557360033175,0.183095878622539,0.820247658250389,1.51684325617267,0.696595597922279,1.5,-0.394426399668251,0.434852027158456
"integrated",2,2,0.595235331559424,0.0941493445577998,0.439448252735268,0.798738763505762,0.359290510770495,1.5,-0.904764668440576,0.90965004498381
"integrated",2,3,0.889330199577808,0.135128325528612,0.661568383906442,1.19196008103231,0.530391697125864,1.5,-0.610669800422192,0.625441659555746
"integrated",2,4,1.20016705124954,0.192944908979603,0.880613154264077,1.66338416630483,0.782771012040751,1.5,-0.299832948750456,0.356549484724829
"integrated",3,1,0.932050370645844,0.245576382326947,0.559623198990849,1.56133587043555,1.0017126714447,1,-0.0679496293541558,0.254803672827058
"integrated",3,2,1.79066637488839,0.472364485179307,1.05558510543926,2.94713625088685,1.89155114544759,2,-0.209333625111611,0.51667085602062
"integrated",3,3,1.09765487562297,0.305299364773766,0.651950877532166,1.86164068791404,1.20968981038187,1,0.0976548756229692,0.320537325227816
"integrated",3,4,1.7335314219772,0.447953267689442,1.06168187403388,2.85579816626024,1.79411629222636,2,-0.266468578022804,0.521217452803668
