"method","cluster","dim","mean","sd","lower","upper","width","true","bias","rmse"
"connectivity_only",1,1,4.21943681344652,0.168767113766566,3.89277794052633,4.55939847751049,0.666620536984157,0,4.21943681344652,4.22281059974951
"connectivity_only",1,2,3.87379271680966,0.143672131776671,3.58827865462082,4.14867141662461,0.560392762003792,0,3.87379271680966,3.87645607407808
"connectivity_only",1,3,3.96945508408077,0.178095283468664,3.60983380628028,4.32963201897255,0.719798212692265,0,3.96945508408077,3.97344832538797
"connectivity_only",1,4,3.78300737533441,0.205746431494653,3.37726895691622,4.19986212910334,0.822593172187118,0,3.78300737533441,3.78859820988019
"connectivity_only",2,1,-3.72533380416551,0.171590787025775,-4.06070611394312,-3.38941457257569,0.671291541367435,4,-7.72533380416551,7.72723920840907
"connectivity_only",2,2,4.37215908455854,0.245188940565964,3.88273507023251,4.84241146772831,0.959676397495799,4,0.372159084558536,0.445668038785941
"connectivity_only",2,3,-3.99476469338648,0.193129956139739,-4.3757473072477,-3.6255218003019,0.750225506945797,4,-7.99476469338648,7.99709707847651
"connectivity_only",2,4,4.17939349987252,0.250317283757121,3.68448627594542,4.64374394783274,0.959257671887319,4,0.179393499872525,0.307962287210717
"connectivity_only",3,1,-0.0324339454643748,0.115547388456566,-0.254583453352912,0.194934524314245,0.449517977667156,-4,3.96756605453563,3.9692482406726
"connectivity_only",3,2,0.0873236805006014,0.0877996426727379,-0.0842272969953858,0.261125768387689,0.345353065383074,4,-3.9126763194994,3.91366129837839
"connectivity_only",3,3,0.0738805758087685,0.103656238566822,-0.12571729843116,0.273760897512893,0.399478195944053,-4,4.07388057580877,4.07519908246773
"connectivity_only",3,4,-0.275413949934531,0.120144737599512,-0.515538714389011,-0.0450217616155974,0.470516952773414,4,-4.27541394993453,4.27710172912308
"integrated",1,1,4.2164403370467,0.181564928050924,3.84149033645905,4.59605332922438,0.754562992765321,0,4.2164403370467,4.22034772725811
"integrated",1,2,3.87169268106245,0.144165928444542,3.59445260168535,4.15065238132417,0.556199779638818,0,3.87169268106245,3.87437582476414
"integrated",1,3,3.97754067864304,0.18894361799995,3.60158867414134,4.34070887004444,0.739120195903102,0,3.97754067864304,3.9820258086862
"integrated",1,4,3.76922557758072,0.196413125629283,3.36667322449738,4.14214222461732,0.775469000119946,0,3.76922557758072,3.77433962046451
"integrated",2,1,-0.0226493357125296,0.117819505227156,-0.257635242068267,0.212975079948486,0.470610322016753,4,-4.02264933571253,4.02437437546762
"integrated",2,2,0.089726049983495,0.0881274969196557,-0.0804356980200036,0.264702082149029,0.345137780169033,4,-3.91027395001651,3.91126690726816
"integrated",2,3,0.074570428707948,0.104896873571371,-0.136025280283627,0.268884986036795,0.404910266320422,4,-3.92542957129205,3.92683086893988
"integrated",2,4,-0.279818575226664,0.119114246434091,-0.514374469505468,-0.0532111892621082,0.461163280243359,4,-4.27981857522666,4.28147582505831
"integrated",3,1,-3.72404249369076,0.171838661537745,-4.0344053863545,-3.37252613658165,0.661879249772853,-4,0.275957506309243,0.325086251458747
"integrated",3,2,4.36520526111235,0.248464568964219,3.87173399718514,4.84527730800931,0.973543310824163,4,0.365205261112348,0.441712038294989
"integrated",3,3,-3.97829360601848,0.195755446921078,-4.38198299330017,-3.5942742507021,0.787708742598067,-4,0.0217063939815243,0.196955229783198
"integrated",3,4,4.18509469360152,0.238274478922263,3.72764448913505,4.65461102627662,0.926966537141571,4,0.185094693601521,0.301719692604107
