Bird.ID,Breeding.site.latitude,Breeding.site.longitude,Wintering.site.1.latitude,Wintering.site.1.longitude
113,DE_007,52.165363,7.690358,53.243427,-3.074578
114,DE_1058,52.473465,8.337133,51.458733,3.66973
115,DE_1059,53.206738,7.619307,47.565273,-2.96476
116,DE_1060,52.469555,8.321388,51.564320,-2.796712
117,DE_1061,51.817245,6.004677,51.468033,4.068984
118,DE_065,53.377274,7.486486,49.195782,-2.226898
119,DE_066,53.335258,7.402753,51.643597,4.10564
120,DE_067,53.421333,7.339618,53.369064,5.24588
121,DE_069,53.365829,7.440627,52.847515,0.430885
122,DE_070,53.220196,7.60696,51.423134,3.933873
123,DE_071,53.360195,7.457332,52.908905,4.815832
124,DE_072,53.208744,7.601083,48.892014,-3.054265
125,DE_073,52.552116,8.326887,43.42794,-3.474323
126,DE_074,52.86937,7.776682,50.762051,-1.464507
127,DE_075,53.206383,7.347217,48.618046,-1.840673
128,DE_076,52.895004,7.823117,48.781685,-3.580755
129,DE_077,53.231285,7.655553,52.532158,-4.000277
130,DE_078,53.400963,7.287416,38.663685,-9.016575
131,DE_079,53.088181,7.294678,48.036716,-4.8668
132,DE_080,53.22823,7.56525,43.430332,-3.510125
133,DE_081,51.638863,-4.150767,53.37516,7.467679
134,DE_082,53.454784,7.32352,51.358231,0.824942
135,DE_083,52.791119,7.66394,51.414677,4.512012
136,DE_084,52.857632,7.723207,49.181549,-2.126273
137,DE_085,52.779469,7.754241,46.936256,-2.083437
138,DE_086,52.763329,7.716786,52.974411,0.73998
139,DE_087,52.791553,7.665168,49.161442,-2.039903
140,DE_492,52.150303,7.16111,48.610355,-1.78883
141,DE_493,52.146935,7.170872,51.536022,-2.945063
142,DE_495,53.609844,6.771203,52.255306,-6.762233
143,DE_496,52.333378,7.888866,49.166313,-2.028903
144,DE_497,53.610977,6.77711,53.089397,0.315507
145,DE_498,51.795288,6.011937,37.207375,-7.308613
146,DE_784,48.63447952,7.944516659,48.67167664,-1.399761677
147,DE_034,49.2231369,12.59170151,43.60340881,4.530226707
148,DE_035,48.67671204,11.35727692,43.40249634,4.620658398
149,DE_036,49.22208786,12.59201145,43.42343521,-3.497498274
150,DE_039,49.17409515,10.69511318,43.49458313,4.663288116
152,DE_042,48.66834641,12.52383327,36.97053909,-7.892773151
153,DE_043,49.17289734,10.68711662,43.54796982,4.317488194
154,FR_0766,46.43635,4.89765,37.00555,-7.87415
155,FR_0767,46.48725,4.92025,38.48935,-8.77005
156,FR_0768,46.49885,4.94535,NA,NA
157,FR_0769,46.49515,4.92505,32.98485,-8.74545
158,FR_770,46.43815,4.90775,40.79285,-8.65915
159,FR_771,46.61335,5.07645,38.48855,-8.75785
160,FR_772,46.36965,4.89105,NA,NA
161,FR_773a,46.29255,4.85355,NA,NA
162,FR_773b,46.38895,4.90205,36.95135,-6.20675
163,FR_195,46.22615,0.04925,38.78995,-8.93385
164,FR_196a,46.36175,0.01585,43.48385,-7.05105
165,FR_196b,55.68161,35.991848,45.894192,-1.082407
166,FR_198,46.21855,0.02115,43.68355,-7.88125
167,FI_200,65.889923,24.159359,57.237331,-2.33969
168,FR_201,46.22615,0.04925,34.84645,-6.26055
169,FI_202,60.144878,24.646614,53.478802,6.257687
170,FI_203,65.944946,24.545523,54.889297,-3.265107
171,FR_204,46.21575,0.02105,37.13005,-7.61885
172,FR_206,64.608597,40.793743,45.894534,-1.082713
173,FR_207,NA,NA,45.894534,-1.082713
